,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
0,Escherichia coli,19411,17.314553823,2018,Adult
1,Staphylococcus aureus,13566,12.100831341,2018,Adult
2,Enterococcus faecalis,8938,7.972669212,2018,Adult
3,Pseudomonas aeruginosa,8905,7.943233311,2018,Adult
4,Klebsiella pneumoniae,7208,6.429514397,2018,Adult
5,Enterococcus faecium,4059,3.620615835,2018,Adult
6,Staphylococcus epidermidis,3784,3.375316659,2018,Adult
7,Candida albicans,3532,3.150533414,2018,Adult
8,Proteus mirabilis,3305,2.948050095,2018,Adult
9,Enterobacter cloacae,2697,2.405715917,2018,Adult
10,"Staphylococcus, coagulase negative",2199,1.961501409,2018,Adult
11,Genus Enterococcus,2016,1.798265958,2018,Adult
12,Candida glabrata,1709,1.524422878,2018,Adult
13,Serratia marcescens,1572,1.402219289,2018,Adult
14,Bacteroides fragilis,1556,1.387947336,2018,Adult
15,Klebsiella oxytoca,1413,1.260391765,2018,Adult
16,Enterobacter aerogenes,1311,1.169408071,2018,Adult
17,Enterobacter cloacae complex,1202,1.072180397,2018,Adult
18,Group B streptococcus,805,0.718057587,2018,Adult
19,Citrobacter freundii,768,0.685053698,2018,Adult
20,Morganella morganii,756,0.674349734,2018,Adult
21,Candida parapsilosis,737,0.657401791,2018,Adult
22,"Streptococcus, viridans group",635,0.566418097,2018,Adult
23,Klebsiella pneumoniae ss. pneumoniae,633,0.564634103,2018,Adult
24,Acinetobacter baumannii,564,0.50308631,2018,Adult
25,Candida tropicalis,546,0.487030364,2018,Adult
26,Stenotrophomonas maltophilia,516,0.460270453,2018,Adult
27,Bacteroides thetaiotaomicron,481,0.429050558,2018,Adult
28,Yeast,477,0.42548257,2018,Adult
29,Streptococcus anginosus,435,0.388018696,2018,Adult
30,Citrobacter koseri,424,0.378206729,2018,Adult
31,Staphylococcus lugdunensis,391,0.348770828,2018,Adult
32,Lactobacillus,380,0.338958861,2018,Adult
33,Enterococcus avium,373,0.332714882,2018,Adult
34,Propionibacterium acnes,360,0.321118921,2018,Adult
35,Corynebacterium,328,0.292575017,2018,Adult
36,Bacteroides fragilis group,297,0.26492311,2018,Adult
37,Diphtheroids,285,0.254219146,2018,Adult
38,Staphylococcus,285,0.254219146,2018,Adult
39,Streptococcus mitis,268,0.239055197,2018,Adult
40,Gram-negative bacillus,263,0.234595212,2018,Adult
41,Streptococcus anginosus group,260,0.231919221,2018,Adult
42,Streptococcus mitis group,260,0.231919221,2018,Adult
43,Gram-positive coccus,239,0.213187284,2018,Adult
44,Streptococcus,212,0.189103365,2018,Adult
45,Candida dubliniensis,208,0.185535377,2018,Adult
46,Enterococcus gallinarum,198,0.176615407,2018,Adult
47,Clostridium perfringens,197,0.17572341,2018,Adult
48,Candida,192,0.171263425,2018,Adult
49,Staphylococcus haemolyticus,189,0.168587434,2018,Adult
50,Bacteroides ovatus,185,0.165019446,2018,Adult
51,Haemophilus influenzae,183,0.163235452,2018,Adult
52,Providencia stuartii,178,0.158775467,2018,Adult
53,Corynebacterium striatum,171,0.152531487,2018,Adult
54,Prevotella bivia,170,0.15163949,2018,Adult
55,Staphylococcus capitis,168,0.149855496,2018,Adult
56,Clostridium,165,0.147179505,2018,Adult
57,Finegoldia magna,160,0.14271952,2018,Adult
58,Candida krusei,156,0.139151532,2018,Adult
59,Proteus vulgaris,149,0.132907553,2018,Adult
60,Streptococcus pneumoniae,145,0.129339565,2018,Adult
61,Prevotella,144,0.128447568,2018,Adult
62,Streptococcus pyogenes,141,0.125771577,2018,Adult
63,Bacteroides vulgatus,137,0.122203589,2018,Adult
64,Bacteroides,136,0.121311592,2018,Adult
65,Gram-positive bacillus,132,0.117743604,2018,Adult
66,Staphylococcus hominis,130,0.11595961,2018,Adult
67,Streptococcus constellatus,130,0.11595961,2018,Adult
68,Enterococcus raffinosus,124,0.110607628,2018,Adult
69,Peptostreptococcus,114,0.101687658,2018,Adult
70,Alpha-hemolytic streptococcus,111,0.099011667,2018,Adult
71,Clostridium ramosum,106,0.094551682,2018,Adult
72,Propionibacterium,103,0.091875691,2018,Adult
73,Fusobacterium nucleatum .,102,0.090983694,2018,Adult
74,Haemophilus parainfluenzae,102,0.090983694,2018,Adult
75,Granulicatella adiacens,97,0.086523709,2018,Adult
76,Rothia mucilaginosa,91,0.081171727,2018,Adult
77,Candida lusitaniae,90,0.08027973,2018,Adult
78,Eggerthella lenta,89,0.079387733,2018,Adult
79,Beta-hemolytic streptococcus,86,0.076711742,2018,Adult
80,Citrobacter amalonaticus,85,0.075819745,2018,Adult
81,Acinetobacter calcoaceticus-Acinetobacter baumannii complex,84,0.074927748,2018,Adult
82,Bacillus,83,0.074035751,2018,Adult
83,Hafnia alvei,82,0.073143754,2018,Adult
84,Streptococcus intermedius,75,0.066899775,2018,Adult
85,Klebsiella,74,0.066007778,2018,Adult
86,Parabacteroides distasonis,73,0.065115781,2018,Adult
87,Providencia rettgeri,73,0.065115781,2018,Adult
88,Enterobacter,72,0.064223784,2018,Adult
89,"Streptococcus, group G",71,0.063331787,2018,Adult
90,Bacteroides uniformis,69,0.0615478,2018,Adult
91,Pseudomonas,69,0.0615478,2018,Adult
92,Actinomyces,68,0.0606558,2018,Adult
93,Burkholderia cepacia,68,0.0606558,2018,Adult
94,Gemella haemolysans,68,0.0606558,2018,Adult
95,Anaerobe,67,0.0597638,2018,Adult
96,Bacteroides caccae,67,0.0597638,2018,Adult
97,Prevotella melaninogenica,66,0.0588718,2018,Adult
98,"Streptococcus, group C",66,0.0588718,2018,Adult
99,Clostridium clostridioforme,65,0.0579798,2018,Adult
100,Klebsiella variicola,64,0.0570878,2018,Adult
101,Clostridium innocuum,61,0.0544118,2018,Adult
102,Enterococcus casseliflavus,60,0.0535198,2018,Adult
103,"Staphylococcus, coagulase positive",59,0.0526278,2018,Adult
104,Citrobacter braakii,57,0.0508438,2018,Adult
105,Citrobacter,56,<0.1,2018,Adult
106,Pseudomonas fluorescens,56,<0.1,2018,Adult
107,Staphylococcus simulans,55,<0.1,2018,Adult
108,Peptostreptococcus anaerobius,54,<0.1,2018,Adult
109,Raoultella ornithinolytica,54,<0.1,2018,Adult
110,Anaerobic Gram-negative bacillus,53,<0.1,2018,Adult
