,WHORegionCode,WHORegionName,CountryIso3,CountryTerritoryArea,IncomeWorldBankJune,Year,AntimicrobialClass,ATC4,ATC4Name,RouteOfAdministration,DDD,DID,Notes
0,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A07AA,Antibiotics (A07AA),O,38559.33333,0.037994299,
1,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01AA,Tetracyclines (J01AA),O,967786.0,0.953604424,
2,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),O,186066.6667,0.183340115,
3,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01BA,Amphenicols (J01BA),P,780.0,0.00076857,
4,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),O,323153.3333,0.318417965,
5,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01CA,Penicillins with extended spectrum (J01CA),P,2104.166667,0.002073333,
6,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01CE,Beta-lactamase sensitive penicillins (J01CE),P,49174.66667,0.04845408,
7,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",O,952034.5667,0.938083806,
8,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors (J01CR)",P,6748.8095241,0.006649915,
9,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),O,14224.5,0.01401606,
10,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DB,First-generation cephalosporins (J01DB),P,15486.66667,0.015259731,
11,EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",J01DC,Second-generation cephalosporins (J01DC),O,63560.0,0.062628615,
