,Pathogen,Frequency Count,Percent of Total Frequency,Year,Population Group
0,Staphylococcus aureus,876,14.388961892,2018,Pediatric
1,Escherichia coli,832,13.666228647,2018,Pediatric
2,Enterococcus faecalis,524,8.607095926,2018,Pediatric
3,Staphylococcus epidermidis,425,6.980946124,2018,Pediatric
4,Klebsiella pneumoniae,397,6.521024967,2018,Pediatric
5,Pseudomonas aeruginosa,366,6.011826544,2018,Pediatric
6,Enterobacter cloacae,185,3.038764783,2018,Pediatric
7,Candida albicans,163,2.67739816,2018,Pediatric
8,Serratia marcescens,151,2.480289093,2018,Pediatric
9,"Staphylococcus, coagulase negative",148,2.431011827,2018,Pediatric
10,Enterococcus faecium,131,2.151773982,2018,Pediatric
11,Enterobacter cloacae complex,126,2.069645204,2018,Pediatric
12,Klebsiella oxytoca,108,1.773981603,2018,Pediatric
13,"Streptococcus, viridans group",102,1.67542707,2018,Pediatric
14,Candida parapsilosis,84,1.379763469,2018,Pediatric
15,Streptococcus mitis,78,1.281208936,2018,Pediatric
16,Genus Enterococcus,50,0.821287779,2018,Pediatric
17,Group B streptococcus,48,0.788436268,2018,Pediatric
18,Bacteroides fragilis,46,0.755584757,2018,Pediatric
19,Stenotrophomonas maltophilia,46,0.755584757,2018,Pediatric
20,Streptococcus mitis group,46,0.755584757,2018,Pediatric
21,Proteus mirabilis,42,0.689881735,2018,Pediatric
22,Enterobacter aerogenes,37,0.607752957,2018,Pediatric
23,Candida tropicalis,36,0.591327201,2018,Pediatric
24,Citrobacter freundii,34,0.55847569,2018,Pediatric
25,Candida glabrata,32,0.525624179,2018,Pediatric
26,Acinetobacter baumannii,30,0.492772668,2018,Pediatric
27,Klebsiella pneumoniae ss. pneumoniae,28,0.459921156,2018,Pediatric
28,Staphylococcus hominis,28,0.459921156,2018,Pediatric
29,Candida lusitaniae,25,0.41064389,2018,Pediatric
30,Lactobacillus,25,0.41064389,2018,Pediatric
31,Enterococcus gallinarum,22,0.361366623,2018,Pediatric
32,Candida krusei,21,0.344940867,2018,Pediatric
33,Enterococcus avium,20,0.328515112,2018,Pediatric
34,Rothia mucilaginosa,20,0.328515112,2018,Pediatric
35,Staphylococcus haemolyticus,20,0.328515112,2018,Pediatric
36,Clostridium tertium,17,0.279237845,2018,Pediatric
37,Propionibacterium acnes,16,0.262812089,2018,Pediatric
38,Streptococcus pneumoniae,16,0.262812089,2018,Pediatric
39,Streptococcus anginosus,16,0.262812089,2018,Pediatric
40,Granulicatella adiacens,14,0.229960578,2018,Pediatric
41,Streptococcus constellatus,14,0.229960578,2018,Pediatric
42,Bacillus,13,0.213534823,2018,Pediatric
43,Enterobacter,13,0.213534823,2018,Pediatric
44,Staphylococcus,13,0.213534823,2018,Pediatric
45,Streptococcus anginosus group,13,0.213534823,2018,Pediatric
46,Streptococcus oralis,13,0.213534823,2018,Pediatric
47,Staphylococcus warneri,12,0.197109067,2018,Pediatric
48,Candida dubliniensis,11,0.180683311,2018,Pediatric
49,Enterococcus casseliflavus,10,0.164257556,2018,Pediatric
50,Morganella morganii,10,0.164257556,2018,Pediatric
51,Capnocytophaga,9,0.1478318,2018,Pediatric
52,Capnocytophaga sputigena,9,0.1478318,2018,Pediatric
53,Streptococcus pyogenes,9,0.1478318,2018,Pediatric
54,Klebsiella,9,0.1478318,2018,Pediatric
55,Pseudomonas putida,9,0.1478318,2018,Pediatric
56,Acinetobacter,8,0.131406045,2018,Pediatric
57,Bacteroides thetaiotaomicron,8,0.131406045,2018,Pediatric
58,Fusobacterium nucleatum .,8,0.131406045,2018,Pediatric
59,Pantoea agglomerans,8,0.131406045,2018,Pediatric
60,Staphylococcus hominis hominis,8,0.131406045,2018,Pediatric
61,Citrobacter koseri,7,0.114980289,2018,Pediatric
62,Gram-positive coccus,7,0.114980289,2018,Pediatric
63,Haemophilus parainfluenzae,7,0.114980289,2018,Pediatric
64,Lactococcus lactis,7,0.114980289,2018,Pediatric
65,Leuconostoc,7,0.114980289,2018,Pediatric
66,Stenotrophomonas,7,0.114980289,2018,Pediatric
67,Abiotrophia,6,0.098554534,2018,Pediatric
68,Bacteroides ovatus,6,0.098554534,2018,Pediatric
69,Corynebacterium striatum,6,0.098554534,2018,Pediatric
70,Haemophilus influenzae,6,0.098554534,2018,Pediatric
71,Lactobacillus rhamnosus,6,0.098554534,2018,Pediatric
72,Leptotrichia,6,0.098554534,2018,Pediatric
73,Mycobacterium abscessus,6,0.098554534,2018,Pediatric
74,Bacillus species not Bacillus anthracis,5,0.082128778,2018,Pediatric
75,Beta-hemolytic streptococcus,5,0.082128778,2018,Pediatric
76,Clostridium,5,0.082128778,2018,Pediatric
77,"Streptococcus, group F",5,0.082128778,2018,Pediatric
78,Gram-negative bacillus,5,0.082128778,2018,Pediatric
79,Moraxella catarrhalis,5,0.082128778,2018,Pediatric
80,Pseudomonas fluorescens,5,0.082128778,2018,Pediatric
81,Raoultella,5,0.082128778,2018,Pediatric
82,Streptococcus,5,0.082128778,2018,Pediatric
83,Alpha-hemolytic streptococcus,4,0.065703022,2018,Pediatric
