,ARO Accession,Model Name,ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,Protein Accession,DNA Accession,PMID,PMID Count,PCA1,PCA2,Cluster
0,ARO:3005099,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Spyo_ErmA_MLSb,AAB60941.1,AF002716.1,9527769,1.0,0.8761597046228813,-0.5000877377805664,3
1,ARO:3002523,AAC(2')-Ia,AAC(2')-Ia,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ia,AAA03550.1,L06156.2,8407825,1.0,-0.476923944263584,-0.08288098259507232,0
2,ARO:3002524,AAC(2')-Ib,AAC(2')-Ib,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ib,AAA03550.1,L06156.2,8891143,1.0,-0.476923944263584,-0.08288098259507352,0
3,ARO:3002525,AAC(2')-Ic,AAC(2')-Ic,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ic,AAA03550.1,L06156.2,9159528,1.0,-0.476923944263584,-0.08288098259507326,0
4,ARO:3002526,AAC(2')-Id,AAC(2')-Id,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Id,AAA03550.1,L06156.2,9159528,1.0,-0.476923944263584,-0.08288098259507351,0
5,ARO:3002527,AAC(2')-Ie,AAC(2')-Ie,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ie,AAA03550.1,L06156.2,9159528,1.0,-0.476923944263584,-0.08288098259507352,0
6,ARO:3004628,AAC(2')-IIa,AAC(2')-IIa,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIa,AAA03550.1,L06156.2,22660700,1.0,-0.476923944263584,-0.08288098259507351,0
7,ARO:3003988,AAC(2')-IIb,AAC(2')-IIb,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIb,AAA03550.1,L06156.2,27929110,1.0,-0.476923944263584,-0.08288098259507351,0
8,ARO:3002528,AAC(3)-Ia,AAC(3)-Ia,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ia,AAG15269.1,U12338.3,2549372;1960117,2.0,-0.476923944263584,-0.08288098259507351,0
9,ARO:3002530,AAC(3)-Ib,AAC(3)-Ib,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ib,AAG15269.1,U12338.3,7486920,1.0,-0.476923944263584,-0.08288098259507351,0
10,ARO:3002600,AAC(3)-Ib/AAC(6')-Ib'',AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC_3Ib_AAC_6Ib,AAL82588.1,AF355189.1,11850242,1.0,-0.476923944263584,-0.08288098259507351,0
11,ARO:3002531,AAC(3)-Ic,AAC(3)-Ic,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ic,AAG15269.1,U12338.3,12709352,1.0,-0.476923944263584,-0.08288098259507351,0
12,ARO:3002529,AAC(3)-Id,AAC(3)-Id,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Id,AAG15269.1,U12338.3,15388438;15728939;18476779,3.0,-0.476923944263584,-0.08288098259507351,0
13,ARO:3002533,AAC(3)-IIa,AAC(3)-IIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIa,AAG15269.1,U12338.3,8913451;3892230;8385262,3.0,-0.476923944263584,-0.08288098259507351,0
14,ARO:3002534,AAC(3)-IIb,AAC(3)-IIb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIb,AAG15269.1,U12338.3,1444303;8385262,2.0,-0.476923944263584,-0.08288098259507351,0
15,ARO:3002535,AAC(3)-IIc,AAC(3)-IIc,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIc,AAG15269.1,U12338.3,18467306;8385262,2.0,-0.476923944263584,-0.08288098259507351,0
16,ARO:3004623,AAC(3)-IId,AAC(3)-IId,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IId,AAG15269.1,U12338.3,20185552,1.0,-0.476923944263584,-0.08288098259507351,0
17,ARO:3004621,AAC(3)-IIe,AAC(3)-IIe,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIe,AAG15269.1,U12338.3,20185552,1.0,-0.476923944263584,-0.08288098259507351,0
18,ARO:3005085,AAC(3)-IIg,AAC(3)-IIg,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIg,AAG15269.1,U12338.3,32571822,1.0,-0.476923944263584,-0.08288098259507351,0
19,ARO:3002536,AAC(3)-IIIa,AAC(3)-IIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIa,AAG15269.1,U12338.3,1649572,1.0,-0.476923944263584,-0.08288098259507351,0
20,ARO:3002537,AAC(3)-IIIb,AAC(3)-IIIb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIb,AAG15269.1,U12338.3,20387903,1.0,-0.476923944263584,-0.08288098259507351,0
21,ARO:3002538,AAC(3)-IIIc,AAC(3)-IIIc,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIc,AAG15269.1,U12338.3,8385262,1.0,-0.476923944263584,-0.08288098259507351,0
22,ARO:3002539,AAC(3)-IVa,AAC(3)-IVa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVa,AAG15269.1,U12338.3,19709289;6318050,2.0,-0.476923944263584,-0.08288098259507351,0
23,ARO:3005061,AAC(3)-IVb,AAC(3)-IVb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVb,AAG15269.1,U12338.3,31578249,1.0,-0.476923944263584,-0.08288098259507351,0
24,ARO:3002543,AAC(3)-IXa,AAC(3)-IXa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IXa,AAG15269.1,U12338.3,2060791,1.0,-0.476923944263584,-0.08288098259507351,0
25,ARO:3002540,AAC(3)-VIa,AAC(3)-VIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIa,AAG15269.1,U12338.3,8257126;19949054,2.0,-0.476923944263584,-0.08288098259507351,0
26,ARO:3002541,AAC(3)-VIIa,AAC(3)-VIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIa,AAG15269.1,U12338.3,2914849,1.0,-0.476923944263584,-0.08288098259507351,0
27,ARO:3002542,AAC(3)-VIIIa,AAC(3)-VIIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIIa,AAG15269.1,U12338.3,2060791,1.0,-0.476923944263584,-0.08288098259507351,0
28,ARO:3002544,AAC(3)-Xa,AAC(3)-Xa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Xa,AAG15269.1,U12338.3,10639379,1.0,-0.476923944263584,-0.08288098259507351,0
29,ARO:3002583,AAC(6')-29a,AAC(6')-29a,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29a,WP_064190968.1,NG_048575.1,11158753,1.0,-0.476923944263584,-0.08288098259507351,0
30,ARO:3002584,AAC(6')-29b,AAC(6')-29b,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29b,WP_064190968.1,NG_048575.1,11158753,1.0,-0.476923944263584,-0.08288098259507351,0
31,ARO:3002599,AAC(6')-30/AAC(6')-Ib' bifunctional protein,AAC(6')-30/AAC(6')-Ib' bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_30_AAC6_Ib,AAL82588.1,AF355189.1,15561846,1.0,-0.476923944263584,-0.08288098259507351,0
32,ARO:3002585,AAC(6')-31,AAC(6')-31,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-31,WP_064190968.1,NG_048575.1,17470660,1.0,-0.476923944263584,-0.08288098259507351,0
33,ARO:3002586,AAC(6')-32,AAC(6')-32,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-32,WP_064190968.1,NG_048575.1,17938181,1.0,-0.476923944263584,-0.08288098259507351,0
34,ARO:3003989,AAC(6')-34,AAC(6')-34,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-34,WP_064190968.1,NG_048575.1,27929110,1.0,-0.476923944263584,-0.08288098259507351,0
35,ARO:3002588,AAC(6')-I30,AAC(6')-I30,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I30,WP_064190968.1,NG_048575.1,15231768,1.0,-0.476923944263584,-0.08288098259507351,0
36,ARO:3002587,AAC(6')-I33,AAC(6')-I33,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I33,WP_064190968.1,NG_048575.1,19738007,1.0,-0.476923944263584,-0.08288098259507351,0
