,ARO Accession,Model Name,ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,Protein Accession,DNA Accession
0,ARO:3005099,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Spyo_ErmA_MLSb,AAB60941.1,AF002716.1
1,ARO:3002523,AAC(2')-Ia,AAC(2')-Ia,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ia,AAA03550.1,L06156.2
2,ARO:3002524,AAC(2')-Ib,AAC(2')-Ib,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ib,AAA03550.1,L06156.2
3,ARO:3002525,AAC(2')-Ic,AAC(2')-Ic,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ic,AAA03550.1,L06156.2
4,ARO:3002526,AAC(2')-Id,AAC(2')-Id,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Id,AAA03550.1,L06156.2
5,ARO:3002527,AAC(2')-Ie,AAC(2')-Ie,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-Ie,AAA03550.1,L06156.2
6,ARO:3004628,AAC(2')-IIa,AAC(2')-IIa,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIa,AAA03550.1,L06156.2
7,ARO:3003988,AAC(2')-IIb,AAC(2')-IIb,AAC(2'),aminoglycoside antibiotic,antibiotic inactivation,AAC(2')-IIb,AAA03550.1,L06156.2
8,ARO:3002528,AAC(3)-Ia,AAC(3)-Ia,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ia,AAG15269.1,U12338.3
9,ARO:3002530,AAC(3)-Ib,AAC(3)-Ib,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ib,AAG15269.1,U12338.3
10,ARO:3002600,AAC(3)-Ib/AAC(6')-Ib'',AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC_3Ib_AAC_6Ib,AAL82588.1,AF355189.1
